employee_id,year_month,overtime_hours,absence_days,paid_leave_used_days
E00001,2025-01,13.0,0,2
E00001,2025-02,30.3,0,2
E00001,2025-03,30.5,0,1
E00001,2025-04,35.9,0,0
E00001,2025-05,21.3,1,0
E00001,2025-06,22.8,0,3
E00001,2025-07,24.8,0,1
E00001,2025-08,21.8,0,1
E00001,2025-09,14.2,1,0
E00001,2025-10,24.2,1,1
E00001,2025-11,13.3,0,1
E00001,2025-12,41.8,1,0
E00002,2025-01,15.9,1,1
E00002,2025-02,8.2,1,2
E00002,2025-03,12.9,1,0
E00002,2025-04,6.5,0,0
E00002,2025-05,7.9,1,1
E00002,2025-06,2.2,0,0
E00002,2025-07,0.0,0,1
E00002,2025-08,24.1,1,0
E00002,2025-09,19.8,0,3
E00002,2025-10,27.6,1,2
E00002,2025-11,3.5,0,2
E00002,2025-12,20.2,0,2
E00003,2025-01,31.2,0,4
E00003,2025-02,28.3,0,0
E00003,2025-03,38.4,2,0
E00003,2025-04,24.6,0,0
E00003,2025-05,23.6,0,2
E00003,2025-06,22.9,0,0
E00003,2025-07,17.1,0,1
E00003,2025-08,22.4,0,0
E00003,2025-09,27.3,0,0
E00003,2025-10,19.4,1,2
E00003,2025-11,23.4,0,4
E00003,2025-12,24.5,0,0
E00004,2025-01,36.3,0,2
E00004,2025-02,6.3,0,1
E00004,2025-03,31.7,0,0
E00004,2025-04,23.2,0,1
E00004,2025-05,25.4,2,1
E00004,2025-06,16.1,1,3
E00004,2025-07,28.2,1,0
E00004,2025-08,24.9,0,0
E00004,2025-09,19.5,0,2
E00004,2025-10,25.8,1,2
E00004,2025-11,26.7,0,0
E00004,2025-12,25.7,0,0
E00005,2025-01,18.0,0,1
E00005,2025-02,0.0,0,0
E00005,2025-03,13.1,0,1
E00005,2025-04,14.4,0,2
E00005,2025-05,19.9,1,1
E00005,2025-06,17.4,0,1
E00005,2025-07,30.1,1,2
E00005,2025-08,16.7,2,0
E00005,2025-09,12.3,0,0
E00005,2025-10,15.3,0,3
E00005,2025-11,17.8,0,0
E00005,2025-12,24.9,1,1
E00006,2025-01,31.3,0,1
E00006,2025-02,32.6,0,1
E00006,2025-03,23.2,0,0
E00006,2025-04,16.8,0,2
E00006,2025-05,8.8,1,0
