employee_id,attrition_flag,attrition_date,attrition_reason_category
E00001,N,,
E00002,N,,
E00003,N,,
E00004,Y,2024-03-29,転職
E00005,N,,
E00006,N,,
E00007,N,,
E00008,Y,2025-06-29,転職
E00009,N,,
E00010,N,,
E00011,N,,
E00012,N,,
E00013,N,,
E00014,N,,
E00015,N,,
E00016,N,,
E00017,N,,
E00018,N,,
E00019,N,,
E00020,N,,
E00021,N,,
E00022,N,,
E00023,N,,
E00024,N,,
E00025,N,,
E00026,N,,
E00027,N,,
E00028,N,,
E00029,N,,
E00030,N,,
E00031,N,,
E00032,N,,
E00033,N,,
E00034,N,,
E00035,N,,
E00036,N,,
E00037,N,,
E00038,N,,
E00039,N,,
E00040,N,,
E00041,Y,2024-06-18,転職
E00042,Y,2024-07-07,転職
E00043,N,,
E00044,N,,
E00045,N,,
E00046,N,,
E00047,N,,
E00048,N,,
E00049,N,,
E00050,N,,
E00051,N,,
E00052,N,,
E00053,N,,
E00054,N,,
E00055,N,,
E00056,Y,2025-03-23,家庭事情
E00057,N,,
E00058,N,,
E00059,N,,
E00060,N,,
E00061,N,,
E00062,N,,
E00063,N,,
E00064,Y,2025-09-27,定年
E00065,N,,
E00066,N,,
E00067,N,,
E00068,N,,
E00069,N,,
E00070,N,,
E00071,N,,
E00072,N,,
E00073,Y,2024-09-26,その他
E00074,Y,2025-08-08,契約満了
E00075,Y,2024-06-11,その他
E00076,N,,
E00077,N,,
E00078,N,,
E00079,N,,
E00080,N,,
E00081,Y,2024-12-25,その他
E00082,N,,
E00083,N,,
E00084,N,,
E00085,N,,
E00086,N,,
E00087,N,,
E00088,Y,2024-05-23,定年
E00089,N,,
E00090,N,,
E00091,N,,
E00092,N,,
E00093,N,,
E00094,N,,
E00095,N,,
E00096,N,,
E00097,N,,
E00098,N,,
E00099,Y,2024-09-12,定年
E00100,N,,
E00101,N,,
E00102,N,,
E00103,Y,2024-10-31,転職
E00104,N,,
E00105,N,,
E00106,N,,
E00107,N,,
E00108,N,,
E00109,N,,
E00110,N,,
E00111,N,,
E00112,N,,
E00113,Y,2025-07-07,転職
E00114,N,,
E00115,N,,
E00116,N,,
E00117,N,,
E00118,N,,
E00119,N,,
E00120,N,,
E00121,Y,2025-07-12,契約満了
E00122,N,,
E00123,Y,2025-09-24,定年
E00124,N,,
E00125,N,,
E00126,N,,
E00127,Y,2024-05-14,転職
E00128,N,,
E00129,Y,2024-12-06,家庭事情
E00130,N,,
E00131,N,,
E00132,N,,
E00133,Y,2025-10-18,その他
E00134,N,,
E00135,N,,
E00136,Y,2025-03-18,転職
E00137,N,,
E00138,N,,
E00139,N,,
E00140,N,,
E00141,N,,
E00142,Y,2024-09-22,その他
E00143,N,,
E00144,N,,
E00145,N,,
E00146,N,,
E00147,N,,
E00148,N,,
E00149,N,,
E00150,N,,
E00151,N,,
E00152,N,,
E00153,N,,
E00154,Y,2024-02-29,転職
E00155,N,,
E00156,N,,
E00157,N,,
E00158,N,,
E00159,N,,
E00160,N,,
E00161,N,,
E00162,N,,
E00163,Y,2024-04-13,転職
E00164,N,,
E00165,N,,
E00166,N,,
E00167,N,,
E00168,N,,
E00169,N,,
E00170,N,,
E00171,N,,
E00172,N,,
E00173,N,,
E00174,N,,
E00175,N,,
E00176,N,,
E00177,N,,
E00178,N,,
E00179,Y,2024-08-24,契約満了
E00180,N,,
E00181,N,,
E00182,N,,
E00183,N,,
E00184,Y,2024-02-25,家庭事情
E00185,N,,
E00186,N,,
E00187,N,,
E00188,N,,
E00189,N,,
E00190,N,,
E00191,N,,
E00192,N,,
E00193,N,,
E00194,N,,
E00195,N,,
E00196,N,,
E00197,N,,
E00198,N,,
E00199,N,,
E00200,N,,
E00201,N,,
E00202,N,,
E00203,N,,
E00204,N,,
E00205,N,,
E00206,N,,
E00207,N,,
E00208,N,,
E00209,N,,
E00210,N,,
E00211,N,,
E00212,N,,
E00213,N,,
E00214,N,,
E00215,N,,
E00216,N,,
E00217,Y,2024-06-27,家庭事情
E00218,N,,
E00219,N,,
E00220,N,,
E00221,N,,
E00222,Y,2025-01-14,転職
E00223,N,,
E00224,N,,
E00225,N,,
E00226,N,,
E00227,N,,
E00228,N,,
E00229,N,,
E00230,N,,
E00231,N,,
E00232,Y,2025-05-04,家庭事情
E00233,N,,
E00234,N,,
E00235,N,,
E00236,N,,
E00237,N,,
