employee_id,fiscal_year,evaluation_grade,evaluation_score
E00001,2023,B,3
E00001,2024,S,5
E00001,2025,C,2
E00002,2023,C,2
E00002,2024,C,2
E00002,2025,D,1
E00003,2023,C,2
E00003,2024,C,2
E00003,2025,B,3
E00004,2023,B,3
E00004,2024,B,3
E00004,2025,C,2
E00005,2023,C,2
E00005,2024,B,3
E00005,2025,B,3
E00006,2023,S,5
E00006,2024,A,4
E00006,2025,S,5
E00007,2023,B,3
E00007,2024,C,2
E00007,2025,C,2
E00008,2023,S,5
E00008,2024,A,4
E00008,2025,S,5
E00009,2023,D,1
E00009,2024,C,2
E00009,2025,D,1
E00010,2023,D,1
E00010,2024,D,1
E00010,2025,D,1
E00011,2023,C,2
E00011,2024,B,3
E00011,2025,A,4
E00012,2023,D,1
E00012,2024,B,3
E00012,2025,S,5
E00013,2023,B,3
E00013,2024,S,5
E00013,2025,S,5
E00014,2023,B,3
E00014,2024,D,1
E00014,2025,C,2
E00015,2023,C,2
E00015,2024,S,5
E00015,2025,C,2
E00016,2023,B,3
E00016,2024,A,4
E00016,2025,B,3
E00017,2023,S,5
E00017,2024,S,5
E00017,2025,C,2
E00018,2023,C,2
E00018,2024,C,2
E00018,2025,D,1
E00019,2023,B,3
E00019,2024,A,4
E00019,2025,A,4
E00020,2023,C,2
E00020,2024,C,2
E00020,2025,D,1
E00021,2023,C,2
E00021,2024,B,3
E00021,2025,C,2
E00022,2023,A,4
E00022,2024,C,2
E00022,2025,B,3
E00023,2023,D,1
E00023,2024,D,1
E00023,2025,A,4
E00024,2023,A,4
E00024,2024,S,5
E00024,2025,S,5
E00025,2023,D,1
E00025,2024,A,4
E00025,2025,C,2
E00026,2023,D,1
E00026,2024,D,1
E00026,2025,A,4
E00027,2023,B,3
E00027,2024,A,4
E00027,2025,D,1
E00028,2023,A,4
E00028,2024,A,4
E00028,2025,A,4
E00029,2023,C,2
E00029,2024,B,3
E00029,2025,B,3
E00030,2023,A,4
E00030,2024,B,3
E00030,2025,D,1
E00031,2023,D,1
E00031,2024,A,4
E00031,2025,B,3
E00032,2023,C,2
E00032,2024,B,3
E00032,2025,A,4
E00033,2023,S,5
E00033,2024,D,1
E00033,2025,B,3
E00034,2023,B,3
E00034,2024,A,4
E00034,2025,A,4
E00035,2023,C,2
E00035,2024,B,3
E00035,2025,B,3
E00036,2023,S,5
E00036,2024,S,5
